2020-11-08 22:47:06.533 [http-nio-80-exec-8] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsCategoryAll(),[]
2020-11-08 22:47:06.535 [http-nio-80-exec-10] INFO  com.sst.log.Log - void com.sst.controller.BaesController.initDate(WebDataBinder),[org.springframework.web.servlet.mvc.method.annotation.ExtendedServletRequestDataBinder@3f9a8b1a]
2020-11-08 22:47:06.536 [http-nio-80-exec-10] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsDetails(Integer),[1]
2020-11-08 22:47:06.536 [http-nio-80-exec-10] INFO  com.sst.log.Log - 前置增加：执行方法：GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)。参数为：[1]
2020-11-08 22:47:06.547 [http-nio-80-exec-10] INFO  com.sst.log.Log - 返回值：com.sst.service.model.GoodsModel@11b8e617
2020-11-08 22:47:06.547 [http-nio-80-exec-10] INFO  com.sst.log.Log - GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)执行完成。 后置
2020-11-08 22:47:30.180 [http-nio-80-exec-1] INFO  com.sst.log.Log - void com.sst.controller.BaesController.initDate(WebDataBinder),[org.springframework.web.servlet.mvc.method.annotation.ExtendedServletRequestDataBinder@3042d065]
2020-11-08 22:47:30.180 [http-nio-80-exec-1] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsDetails(Integer),[1]
2020-11-08 22:47:30.180 [http-nio-80-exec-1] INFO  com.sst.log.Log - 前置增加：执行方法：GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)。参数为：[1]
2020-11-08 22:47:30.181 [http-nio-80-exec-2] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsCategoryAll(),[]
2020-11-08 22:47:30.192 [http-nio-80-exec-1] INFO  com.sst.log.Log - 返回值：com.sst.service.model.GoodsModel@56d12496
